,service_layers,join,Unnamed: 0,map_title,type,item_id,owner,date_created,date_updated,share_settings,content_status,total_storage,number_of_views,number_of_ratings,average_rating,layer_type,service_title,layer_url,match
0,https://geo.co.crook.or.us/server/rest/services/CityServices/Public_Overlay_Zone/MapServer,1,,,,,,,,,,,,,,,,,
1,https://geo.co.crook.or.us/server/rest/services/CityServices/Natural_Features_Overlay_District/MapServer,1,,,,,,,,,,,,,,,,,
2,https://geo.co.crook.or.us/server/rest/services/SampleWorldCities/MapServer,1,,,,,,,,,,,,,,,,,
3,https://geo.co.crook.or.us/server/rest/services/CityServices/Parks/MapServer,1,,,,,,,,,,,,,,,,,
4,https://geo.co.crook.or.us/server/rest/services/CityServices/Prineville_Comprehensive_Plan/MapServer,1,,,,,,,,,,,,,,,,,
5,https://geo.co.crook.or.us/server/rest/services/CityServices/PrinevilleCityBoundary/MapServer,1,,,,,,,,,,,,,,,,,
6,https://geo.co.crook.or.us/server/rest/services/CityServices/Parks_and_Recreation_District/MapServer,1,,,,,,,,,,,,,,,,,
7,https://geo.co.crook.or.us/server/rest/services/CityServices/PLSS/MapServer,1,,,,,,,,,,,,,,,,,
8,https://geo.co.crook.or.us/server/rest/services/CityServices/Prineville_Urban_Growth_Boundary/MapServer,1,,,,,,,,,,,,,,,,,
9,https://geo.co.crook.or.us/server/rest/services/CityServices/Elevation/MapServer,1,,,,,,,,,,,,,,,,,
10,https://geo.co.crook.or.us/server/rest/services/CityServices/Enterprise_Zone/MapServer,1,,,,,,,,,,,,,,,,,
11,https://geo.co.crook.or.us/server/rest/services/CityServices/Airport_Approach_Overlay/MapServer,1,,,,,,,,,,,,,,,,,
12,https://geo.co.crook.or.us/server/rest/services/CityServices/Water/MapServer,1,,,,,,,,,,,,,,,,,
13,https://geo.co.crook.or.us/server/rest/services/CityServices/PrinevilleAnnexations/MapServer,1,,,,,,,,,,,,,,,,,
14,https://geo.co.crook.or.us/server/rest/services/restricted/soils/MapServer,1,42.0,Planning (Soils),Web Map,6bb6913d4420465dad8ba251e0e9b86c,crookcountygis,11/08/2018 11:51:57 AM,07/20/2023 11:43:48 AM,shared,,201171.0,1463.0,0.0,0.0,ArcGISFeatureLayer,Soils,https://geo.co.crook.or.us/server/rest/services/restricted/soils/MapServer/0,True
15,https://geo.co.crook.or.us/server/rest/services/restricted/soils/MapServer,1,259.0,Planning,Web Map,cac065b587244425b678296d399f78c0,crookcountygis,11/13/2018 01:45:33 PM,10/26/2022 03:29:12 PM,public,,747099.0,20743.0,0.0,0.0,ArcGISFeatureLayer,Soils,https://geo.co.crook.or.us/server/rest/services/restricted/soils/MapServer/0,True
16,https://geo.co.crook.or.us/server/rest/services/Compliance_Cases/MapServer,1,182.0,Compliance Cases,Web Map,28585c6641644e66a16b1b18b80205d1,crookcountygis,07/22/2019 02:44:34 PM,07/07/2022 11:55:26 AM,shared,,15523.0,504.0,0.0,0.0,ArcGISFeatureLayer,Compliance Cases,https://geo.co.crook.or.us/server/rest/services/Compliance_Cases/MapServer/0,True
17,https://geo.co.crook.or.us/server/rest/services/CityServices/Natural_Feature/MapServer,1,,,,,,,,,,,,,,,,,
18,https://geo.co.crook.or.us/server/rest/services/publicApp/RS_2477/MapServer,1,152.0,RS_2477,Web Map,4bdf06b4e96241c5b53212694dcc4220,crookcountygis,01/21/2020 01:17:50 PM,07/07/2022 11:58:32 AM,public,,4924.0,472.0,0.0,0.0,ArcGISFeatureLayer,RS_2477 Roads,https://geo.co.crook.or.us/server/rest/services/publicApp/RS_2477/MapServer/0,True
19,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/OnsiteWells/MapServer,1,301.0,Planning,Web Map,cac065b587244425b678296d399f78c0,crookcountygis,11/13/2018 01:45:33 PM,10/26/2022 03:29:12 PM,public,,747099.0,20743.0,0.0,0.0,ArcGISFeatureLayer,Onsite Wells,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/OnsiteWells/MapServer/0,True
20,https://geo.co.crook.or.us/server/rest/services/publicApp/mapbookIndex/MapServer,1,322.0,Parole and Probation County Roads,Web Map,5b508f004ab444b19ffa1206805e5749,crookcountygis,11/08/2018 03:32:42 PM,07/07/2022 11:50:43 AM,public,,8132.0,164.0,0.0,0.0,ArcGISFeatureLayer,Mapbooks,https://geo.co.crook.or.us/server/rest/services/publicApp/mapbookIndex/MapServer/0,True
21,https://geo.co.crook.or.us/server/rest/services/publicApp/mapbookIndex/MapServer,1,430.0,Road Atlas,Web Map,0b80d3cf829f432dbfb95c8b9edd190d,crookcountygis,11/08/2018 12:42:21 PM,07/07/2022 11:51:42 AM,public,,4392.0,1670.0,0.0,0.0,ArcGISFeatureLayer,Mapbook Index,https://geo.co.crook.or.us/server/rest/services/publicApp/mapbookIndex/MapServer/0,True
22,https://geo.co.crook.or.us/server/rest/services/e911/Building_Footprings/MapServer,1,,,,,,,,,,,,,,,,,
23,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Water_Sources/MapServer,1,,,,,,,,,,,,,,,,,
24,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Public_Lands/MapServer,1,,,,,,,,,,,,,,,,,
25,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Landing_Zones/MapServer,1,,,,,,,,,,,,,,,,,
26,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Water_Features/MapServer,1,,,,,,,,,,,,,,,,,
27,https://geo.co.crook.or.us/server/rest/services/CityServices/Precincts/MapServer,1,,,,,,,,,,,,,,,,,
28,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Transportation/MapServer,1,,,,,,,,,,,,,,,,,
29,https://geo.co.crook.or.us/server/rest/services/ParksAndRec/ParksAndRecAddresses/MapServer,1,,,,,,,,,,,,,,,,,
30,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Response_Zones/MapServer,1,,,,,,,,,,,,,,,,,
